No.Act,Descripción,No. serie,Marca,Modelo,Comentarios
UTQ33,MESA CENTRO MESA REMPE 4005,SIN NUMERO,SIN MARCA,CENTRO MESA REMPE 4005,EDIFICIO:"O" NANO PLANTA:BAJA LABORATORIO 5 EDO.DEL BIEN:BUENO
UTQ1425,ESCRITORIO MADERA 4 CAJONES,SIN NUMERO,SIN MARCA,MADERA 4 CAJONES,EDIFICIO: "CIC1" 4.0 PLANTA:BAJA ÓPTICA EDO.DEL BIEN:BUENO
UTQ1590,ARCHIVERO MADERA 4 GAVETAS,SIN NUMERO,SIN MARCA,MADERA 4 GAVETAS,EDIFICIO: "O" NANO PLANTA:ALTA CUBÍCULO 3 EDO.DEL BIEN:BUENO
UTQ2233,ARCHIVERO 4 GAVETAS COLOR NOGAL,SIN NUMERO,SIN MARCA,4 GAVETAS COLOR NOGAL,EDIFICIO: "O" NANO PLANTA:BAJA LABORATORIO 5 EDO.DEL BIEN:BUENO
UTQ10798,ESCRITORIO 1.52. X .75 X .75,SIN NUMERO,SIN MARCA,1.52. X .75 X .75,EDIFICIO: "O" NANO PLANTA:BAJA LABORATORIO 5 EDO.DEL BIEN:BUENO 
UTQ13775,PROYECTOR VIEWSONIC PJD5122,RYT102301002,VIEWSONIC,VIEWSONIC PJD5122,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO 
UTQ13777,IMPRESORA SAMSUNG ML 1910,Z2L6BAFZ700168J,SAMSUNG,SAMSUNG ML 1910,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO 
UTQ13779,CAMARA FOTOGRAFICA FUJIFILM 10.2 MEGAPIXELES, 9UA13143,FUJIFILM,FUJIFILM 10.2 MEGAPIXELES,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO
UTQ14099,PROYECTOR SAMSUNG P410M C/CONTROL Y CABLES,YED6HVDB500033,SAMSUNG,SAMSUNG P410M C/CONTROL Y CABLES,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO 
UTQ14100,HIGROTERMOGRAFO TERMOTRAKCER,6D00019DA92,TERMOTRAKCER,TERMOTRAKCER,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO 
UTQ14101,HIGROTERMOGRAFO TERMOTRAKCER,7E000000196592,TERMOTRAKCER,TERMOTRAKCER,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO
UTQ14102,HIGROTERMOGRAFO TERMOTRAKCER,0C00000019F0C,TERMOTRAKCER,TERMOTRAKCER,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO
UTQ14103,HIGROTERMOGRAFO TERMOTRAKCER,55000000198F0F,TERMOTRAKCER,TERMOTRAKCER,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO
UTQ14104,HIGROTERMOGRAFO TERMOTRAKCER,0B00000019BFBC,TERMOTRAKCER,TERMOTRAKCER,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO
UTQ14105,HIGROTERMOGRAFO TERMOTRAKCER,3500000019BEC9,TERMOTRAKCER,TERMOTRAKCER,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO
UTQ14106,SOFTWARE THERMOTRACKER PRO VERSION 2.1,SIN NUMERO,SIN MARCA,THERMOTRACKER PRO,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO 
UTQ15816,ESCRITORIO N/A MADERA 1.50X.70 C/2CAJONES Y 1 ARCH,SIN NUMERO,SIN MARCA,VERSION MADERA 1.50X.70 C/2CAJONES,EDIFICIO: "O" NANO PLANTA:BAJA CUBÍCULO 3 EDO.DEL BIEN:BUENO
UTQ15824,ESCRITORIO N/A MADERA 1.50X.70 C/2CAJONES Y 1 ARCH,SIN NUMERO,SIN MARCA,MADERA 1.50X.70 C/2CAJONES,EDIFICIO: "O" NANO PLANTA:ALTA CUBÍCULO 9 EDO.DEL BIEN:BUENO
UTQ16400,CPU N/A INTEL CORE I5 3330 3.0GHZ 5GT/S,SIN NUMERO,SIN MARCA,INTEL CORE I5 3330,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO OPTICA EDO.DEL BIEN:BUENO
UTQ16402,TRIPLE OUTPUTRIGOL 832,SIN NUMERO,RIGOL,832,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO OPTICA EDO.DEL BIEN:BUENO
UTQ16403,GENERADOR DE FUNCIONES RIGOL 1022,SIN NUMERO,RIGOL,1022,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO OPTICA EDO.DEL BIEN:BUENO
UTQ16408,HIGH PERFORMANCE MODULAR N/A BALL BEARIN,SIN NUMERO,SIN MARCA,BALL BEARIN,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO OPTICA EDO.DEL BIEN:BUENO
UTQ16409,NI PCI 4462 N/A 24BIT SIGMA DELTA ADCS,SIN NUMERO,N/A,24BIT SIGMA DELTA ADCS,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO OPTICA EDO.DEL BIEN:BUENO
UTQ16540,LASER VERDE LASAMATE GML532 300FLD,14070612,LASAMATE,GML 532 300FLD,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO OPTICA EDO.DEL BIEN:BUENO 
UTQ16541,LASER AZUL COHERENT 405NM 300MW,S141027004,COHERENT,405NM 300MW,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO OPTICA EDO.DEL BIEN:BUENO
